LABEL,CLASS_0,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,attractiveness,OBJECTID,GNIS_FEATU,FEATURE_NA,CTU_CLASS,COUNTY_GNI,COUNTY_COD,COUNTY_NAM,POPULATION,SHAPE_Leng,ORIG_FID,UNIQUE_ID,Shape_Length,Shape_Area,LABEL_1
UNIQU_975,0,7996,885,88511,4892,249,0.922206509123892,976,664381,Hammer,TOWNSHIP,659531,87,Yellow Medicine,182,44654.412060800001200,169,975,44654.412060779046442,92281772.606098309159279,UNIQU_975
UNIQU_976,0,7372,10035,65576,3839,912,0.845352998837395,977,664418,Hawk Creek,TOWNSHIP,659510,65,Renville,195,42969.206932900000538,2145,976,42969.206932922614214,78958077.138329446315765,UNIQU_976
UNIQU_977,0,26,71,100267,3988,59,0.998802808133243,978,664382,Hammond,TOWNSHIP,659505,60,Polk,47,38779.228797099996882,1338,977,38779.228797130715975,93967861.852956607937813,UNIQU_977
UNIQU_978,0,952,423,1922,3898,229,0.819558189655172,979,2394332,Hawley,CITY,659459,14,Clay,2353,17348.704385900000489,386,978,17348.704385869012185,6677404.080198852345347,UNIQU_978
UNIQU_979,0,15460,2559,65339,4352,1944,0.805994155308185,980,664420,Hawley,TOWNSHIP,659459,14,Clay,502,47817.141160400002263,2728,979,47817.141160439539817,80693967.514020964503288,UNIQU_979
UNIQU_980,0,3,190,22,242,32,0.695910020449898,981,2394281,Hammond,CITY,659523,79,Wabasha,132,4907.729865639999844,2329,980,4907.729865643872472,446263.289101516304072,UNIQU_980
UNIQU_981,0,44709,51596,5737,2150,310,0.315748023961264,982,664421,Hay Brook,TOWNSHIP,659478,33,Kanabec,203,38805.318157699999574,2194,981,38805.318157749221427,94043123.485003396868706,UNIQU_981
UNIQU_982,0,320,45410,47936,5123,73,0.720752159575975,983,664422,Hay Creek,TOWNSHIP,659470,25,Goodhue,966,43911.478064399998402,2626,982,43911.478064398237620,88858313.836061716079712,UNIQU_982
UNIQU_983,0,6683,228,93307,3232,31,0.940254732752873,984,664384,Hampden,TOWNSHIP,659480,35,Kittson,32,38601.689353200003097,1842,983,38601.689353203481005,93135345.400312915444374,UNIQU_983
UNIQU_984,0,48971,37088,39,835,705,0.235129738241402,985,664426,Hay Lake,UNORGANIZED TERRITORY,662850,69,Saint Louis,0,36441.689839300001040,1113,984,36441.689839281985769,78855714.088116720318794,UNIQU_984
UNIQU_985,0,2023,363,94278,4281,489,0.975082319537828,986,664234,Friendship,TOWNSHIP,659531,87,Yellow Medicine,173,48522.254378600002383,1578,985,48522.254378634323075,91296591.999103829264641,UNIQU_985
UNIQU_986,0,3377,1517,90028,4037,4242,0.920625769130144,987,664423,Hayes,TOWNSHIP,659520,76,Swift,228,38570.158040499998606,537,986,38570.158040457994503,92893285.052598536014557,UNIQU_986
